,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites
8179,ORANAY_clean,7.12854,3.26584,7.11878,1.39249,0,0,644.71,462.99,0.502035,0.36053,0,"Mg,Ce",Yes,Mg
13515,YABWOP_clean,4.88487,3.26584,4.81241,1.64251,0,0,710.452,432.54,0.562501,0.342463,0,V,Yes,V
3174,FIRVEH_clean,4.11749,3.26577,4.11749,1.42039,0,0,492.507,346.742,0.459385,0.323422,0,Ca,Yes,Ca
11772,VARRIP_clean,6.075,3.2656,6.07236,1.59276,0,0,878.64,551.647,0.507798,0.318817,0,"La,Y",No,
14347,ZUVTEP_clean,6.34335,3.26541,6.34335,1.63952,0,0,906.93,553.168,0.524069,0.319648,0,La,No,
7437,NEYYIZ_clean,5.78405,3.26538,5.7583,0.966711,0,0,1314.99,1360.27,0.624686,0.646197,0,"Rb,Cr",No,
8019,OKOROW_clean,4.17,3.26494,4.10733,0.789331,0,0,344.94,437.003,0.453522,0.574565,0,Na,Yes,Na
5588,KEXKAB_clean,4.03345,3.26477,4.03345,1.48331,0,0,379.311,255.719,0.463511,0.312484,0,Zn,Yes,Zn
10948,TOTWAC_clean,4.27065,3.26465,4.26875,1.4628,0,0,270.336,184.807,0.456298,0.311934,0,Zn,Yes,Zn
855,BOFCEG_clean,4.74864,3.26416,4.74864,1.35043,0,0,1008.46,746.772,0.538768,0.398961,0,Zn,No,
12361,WASNOU_clean,4.7997,3.26281,4.79533,1.16461,0,0,664.371,570.467,0.507197,0.435508,0,Cu,Yes,Cu
4406,HUHJOL_clean,5.1326,3.26277,5.12759,1.44588,0,0,463.707,320.709,0.41431,0.286545,2.66E-05,"Na,Mn",Yes,"Na,Mn"
10431,SOQHIR01_clean,5.29124,3.26263,5.25532,1.49431,0,0,1037.14,694.056,0.529256,0.35418,6.34E-05,Tb,No,
7063,MOXPOF_charged,6.00879,3.26229,6.00879,0.97569,0,0,1337.49,1370.81,0.553284,0.567069,0,Cu,No,
14118,ZAYKAN_charged,4.54951,3.26187,4.36618,3.87552,0,0,442.717,114.234,0.384173,0.099128,7.22E-07,"W,Nd",No,
12453,WELTOX_clean,5.4904,3.26173,5.4904,1.92744,0,0,774.724,401.944,0.459958,0.238636,0,Cu,No,
15149,magnetochemistry3010001_PF290NdNO3_clean,4.20828,3.26143,4.18379,1.82277,0,0,354.424,194.442,0.445242,0.244266,2.19E-06,Nd,Yes,Nd
12410,WECBAJ_clean,4.17403,3.2613,3.775,1.85127,0,0,195.183,105.432,0.381739,0.206204,0,Zn,No,
2521,EPUXET_clean,4.89022,3.26125,4.80829,1.25583,0,0,621.384,494.801,0.475491,0.378628,0,Cd,No,
3676,GIRGUL_clean,4.00306,3.26113,3.99382,1.40352,0,0,199.997,142.496,0.417474,0.297448,0,Co,Yes,Co
5741,KOLYUH_clean,6.17756,3.26072,6.15317,0.999417,0,0,1010.34,1010.93,0.556689,0.557014,0,Cu,Yes,Cu
5163,JASMEW_clean,6.4539,3.2607,6.4539,1.84619,0,0,666.321,360.916,0.420094,0.227546,0,Zn,No,
1621,DAFTEM_clean,3.79844,3.26055,3.79367,1.28838,0,0,311.606,241.859,0.448395,0.34803,0,Zn,No,
6717,MARLUP_clean,3.97179,3.26006,3.94773,1.58166,0,0,387.793,245.181,0.501595,0.317132,0,Ce,Yes,Ce
14609,c6cc03541h_c6cc03541h4_clean,4.6463,3.25959,4.64414,1.93288,0,0,220.953,114.313,0.405661,0.209874,0,Au,Yes,Au
7280,NARNOM_clean,3.67086,3.25949,3.67086,2.36402,0,0,87.9502,37.2036,0.381214,0.161256,0,Ho,Yes,Ho
14975,j.matlet.2016.01.080_mmc1_clean,4.20063,3.25921,4.17775,1.31921,0,0,662.471,502.173,0.448393,0.339895,0,Zn,No,
